"«Корунд-М», ЗАО","""Korund-M"", CJSC",Москва,Россия,Moscow,Russia,Стенд: 1A5-3,Stand: 1A5-3
"«Красная звезда», газета Вооруженных Сил Российской Федерации","Krasnaya Zvezda, newspaper of the Armed Forces of the Russian Federation",Москва,Россия,Moscow,Russia,Стенд: 4F2-1,Stand: 4F2-1
AGE DEFENSE SOLUTIONS,AGE DEFENSE SOLUTIONS,Стамбул,Россия,Istanbul,Russia,Стенд: 3B2-3,Stand: 3B2-3
ExpoElectronica/ElectronTechExpo,ExpoElectronica/ElectronTechExpo,Москва,Россия,Moscow,Russia,Стенд: 4Е5-2,Stand: 4E5-2
Flour Mills of Nigeria,Flour Mills of Nigeria,Москва,Россия,Moscow,Russia,Стенд: 4C3,Stand: 4C3
IRAN AIRSHOW COMPANY,IRAN AIRSHOW COMPANY,,Иран,,Iran,Стенд: 3B1-4,Stand: 3B1-4
iRU,iRU,Красногорск,Россия,Krasnogorsk,Russia,Стенд: 1B1-4,Stand: 1B1-4
KUBO,KUBO,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1A3-6,Stand: 1A3-6
Media Transasia,Media Transasia,,Тайланд,,Thailand,Стенд: 2F2-2,Stand: 2F2-2
MILEX Выставка (БелЭкспо),MILEX Exhibition (BelExpo),Минск,Беларусь,Minsk,Belarus,Стенд: 2B1-1,Stand: 2B1-1
Mr.President,Mr President,Екатеринбург,Россия,Yekaterinburg,Russia,,
National Pavilion of Iran MoD ,National Pavilion of Iran MoD ,,Иран,,Iran,,
Nigerian Breweries,Nigerian Breweries,,Нигерия,,Nigeria,,
ORSIS (ООО «ПРОМТЕХНОЛОГИЯ»),ORSIS (PROMTECHNOLOGIA LLC),Москва,Россия,Moscow,Russia,Стенд: 2E3-1,Stand: 2E3-1
Sputnik,Sputnik,Москва,Россия,Moscow,Russia,Стенд: 4E1,Stand: 4E1
UM-Forest мульчеры,UM-Forest mulchers,Пермь,Россия,Perm,Russia,,
UM-Forest мульчеры,UM-Forest mulchers,Пермь,Россия,Perm,Russia,,
XiaoCheung (Cyber Smart Limited),Xiao Cheung (Cyber Smart Limited),,Китайская народная республика,,People's Republic of China,Стенд: 4F2-6,Stand: 4F2-6
ZALA AERO GROUP,ZALA AERO GROUP,Москва,Россия,Moscow,Russia,Стенд: 2B5-2,Stand: 2B5-2
"АБ «РОССИЯ», АО","JSB ""RUSSIA"", JSC",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 2D4-2,Stand: 2D4-2
Абтроникс,Abtronics,Москва,Россия,Moscow,Russia,Стенд: Заочно,Stand: In absentia
АВ Пауэр (AV Power),AV Power (AV Power),Москва,Россия,Moscow,Russia,Стенд: 3A1-5,Stand: 3A1-5
Авангард,Vanguard,Москва,Россия,Moscow,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"Авангард, АО","Avangard, AO",Сафоново,Россия,Safonovo,Russia,Стенд: Демоцентр,Stand: Democenter
Авантех,Avantech,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1A6-4,Stand: 1A6-4
"Авексима, ОАО","Aveksima, JSC",Москва,Россия,Moscow,Russia,Стенд: 4B6-1,Stand: 4B6-1
"Авиаавтоматика им. В.В .Тарасова, АО","Aviaavtomatika them. V.V. Tarasova, JSC",Курск,Россия,Kursk,Russia,Стенд: 4O1,Stand: 4O1
"АВИАМЕТИЗ, ООО","AVIAMETIZ, OOO",Пенза,Россия,Penza,Russia,Стенд: 1F3-3,Stand: 1F3-3
"Авиационный комплекс им. С.В. Ильюшина, ПАО","Aviation Complex. S.V. Ilyushin, PAO",Москва,Россия,Moscow,Russia,Стенд: Демоцентр,Stand: Democenter
Авиация и спорт,Aviation and sports,Королев,Россия,Korolev,Russia,Стенд: 1F3-1,Stand: 1F3-1
АВИВ,AVIV,Москва,Россия,Moscow,Russia,Стенд: 3F2-2,Stand: 3F2-2
"Автодом, ООО","Avtodom, OOO",Ульяновск,Россия,Ulyanovsk,Russia,Стенд: 5O14,Stand: 5O14
"Автомастер, ООО","Avtomaster, OOO",Нижний Новгород,Россия,Nizhny Novgorod,Russia,Стенд: 2O9,Stand: 2O9
"Автоматизированная система торгов государственного оборонного заказа, ООО","Automated bidding system of the state defense order, LLC",Москва,Россия,Moscow,Russia,Стенд: 4D6,Stand: 4D6
"Автомобильный завод «УРАЛ», АО","Automobile plant ""URAL"", JSC",Миасс,Россия,Miass,Russia,"Стенд: 2O1, 5O15","Stand: 2O1, 5O15"
"Автономные системы, ООО","Autonomous systems, LLC",,Россия,,Russia,Стенд: 3A5-3,Stand: 3A5-3
"АВТОУСЛУГИ, ООО",AUTOSERVICES LLC,Павлово,Россия,Pavlovo,Russia,Стенд: 5O22,Stand: 5O22
"Автофургон, ООО","Avtofurgon, OOO",,Россия,,Russia,Стенд: 5O3,Stand: 5O3
"АГАТ-системы управления, ОАО","AGAT-control systems, JSC",Минск,Беларусь,Minsk,Belarus,Стенд: 2D1,Stand: 2D1
"Агат-электромеханический завод, ОАО","Agat-electromechanical plant, OJSC",Минск,Беларусь,Minsk,Belarus,,
"Агат, Гаврилов-Ямский машиностроительный завод","Agat, Gavrilov-Yamsky Machine-Building Plant",Гаврилов-Ям,Россия,Gavrilov-Yam,Russia,Стенд: 3B4-1,Stand: 3B4-1
Агентство «Эмерком»,"Agency ""Emercom""",,Россия,,Russia,Стенд: 5C1-2,Stand: 5C1-2
Агентство инновационного развития Ульяновской области,Agency for Innovative Development of the Ulyanovsk Region,Димитровград,Россия,Dimitrovgrad,Russia,Стенд: 3A4-3,Stand: 3A4-3
Агентство международного сотрудничества Челябинской области,Agency for International Cooperation of the Chelyabinsk Region,,Россия,,Russia,Стенд: 1O6,Stand: 1O6
"Агрегат, ПАО","Unit, PAO",Сим,Россия,Sim,Russia,"Стенд: 3B4-1, 5C2-2","Stand: 3B4-1, 5C2-2"
АДВАНТЕХ,ADVANTECH,Москва,Россия,Moscow,Russia,Стенд: 1F2-2,Stand: 1F2-2
"АДДИТИВНЫЕ ТЕХНОЛОГИИ, Журнал","ADDITIVE TECHNOLOGIES, Journal",Москва,Россия,Moscow,Russia,Стенд: 1F3-11,Stand: 1F3-11
"Адмиралтейские верфи, АО",Admiralty Shipyards JSC,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: Демоцентр,Stand: Democenter
"Адриа Винч Зеленодольск, ООО","Adria Vinch Zelenodolsk, OOO",,Россия,,Russia,Стенд: 3D6,Stand: 3D6
"Азарт, ООО","Azart, OOO",Ленинградская обл.,Россия,Leningrad region,Russia,Стенд: 3O13,Stand: 3O13
Азон,Azon,Москва,Россия,Moscow,Russia,Стенд: 1A5-2,Stand: 1A5-2
"АИ ОПК, ООО","AI OPK, OOO",Москва,Россия,Moscow,Russia,Стенд: 4F2-4,Stand: 4F2-4
АйСиЭл Техно,iciel techno,Усады,Россия,Usady,Russia,Стенд: 1E4-2,Stand: 1E4-2
"АК «РУБИН», ПАО","JSC ""RUBIN"", PJSC",Балашиха,Россия,Balashikha,Russia,Стенд: 2E4-2,Stand: 2E4-2
Академия наук Респукблики Татарстан,Academy of Sciences of the Republic of Tatarstan,Казань,Россия,Kazan,Russia,,
"АКИН, АО","AKIN, JSC",Москва,Россия,Moscow,Russia,Стенд: 3C7,Stand: 3C7
Аккумуляторная компания «Ригель»,"Battery company ""Rigel""",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 3E5-4,Stand: 3E5-4
"АКРОСПОРТ, ООО",AKROSPORT LLC,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1B8-2,Stand: 1B8-2
Акционерное общество «Научно-производственное объединение «Радиозавод имени А.С. Попова»,"Joint Stock Company ""Scientific and Production Association"" Radio Plant named after A.S. Popov""",Москва,Россия,Moscow,Russia,Стенд: 1D5,Stand: 1D5
"АЛЕКСАНДЕР ЭЛЕКТРИК источники электропитания, ООО","ALEXANDER ELECTRIC power sources, LLC",Москва,Россия,Moscow,Russia,Стенд: 1F4-7,Stand: 1F4-7
"АЛЕКСАНДР, ООО, НПП","ALEXANDER, OOO, NPP",Москва,Россия,Moscow,Russia,Стенд: 1D3-2,Stand: 1D3-2
"Алкор Био, ООО","Alkor Bio, OOO",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 5С3,Stand: 5S3
"Алмаз - Антей, Концерн воздушно-космической обороны, Акционерное общество","Almaz - Antey, Aerospace Defense Concern, Joint Stock Company",Москва,Россия,Moscow,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"АЛТАЙТРАНСМАШ-СЕРВИС, ООО","ALTAITRANSMASH-SERVICE, LLC",Рубцовск,Россия,Rubtsovsk,Russia,Стенд: Заочно,Stand: In absentia
"Альвис, НТО","Alvis, NTO",Тула,Россия,Tula,Russia,Стенд: 3A5-1,Stand: 3A5-1
АЛЬФА,ALPHA,Тверь,Россия,Tver,Russia,Стенд: 3B6-1,Stand: 3B6-1
Алюмика,Alumica,Тверь,Россия,Tver,Russia,Стенд: 3B6-1,Stand: 3B6-1
Амкодор-Брянск,Amkodor-Bryansk,,Россия,,Russia,Стенд: 5O19,Stand: 5O19
АмперМагнит,AmpMagnet,Москва,Россия,Moscow,Russia,Стенд: 1B9,Stand: 1B9
"Амурский завод «ВЫМПЕЛ» им. П.В. Финогенова, ФКП","Amur plant ""VIMPEL"" them. P.V. Finogenova, FKP",Амурск,Россия,Amursk,Russia,Стенд: Заочно,Stand: In absentia
АНАЛИТИК ТИР,ANALYST TIR,Москва,Россия,Moscow,Russia,Стенд: 2B7-2,Stand: 2B7-2
"Аналитические издания оборонно-промышленного комплекса, ООО","Analytical publications of the military-industrial complex, LLC",,Россия,,Russia,Стенд: 4F2-4,Stand: 4F2-4
"Анатомика, ООО","Anatomika, OOO",Казань,Россия,Kazan,Russia,Стенд: 5С3,Stand: 5S3
АНО «Индустрия безопасности»,ANO Security Industry,Москва,Россия,Moscow,Russia,,
"АНО ДПО ""Академия ПСБ""","ANO DPO ""PSB Academy""",Москва,Россия,Moscow,Russia,,
АО «Мценский завод «Коммаш»,JSC Mtsensk Plant Kommash,Мценск,Россия,Mtsensk,Russia,Стенд: Заочно,Stand: In absentia
"Априори, ПТК","Apriori, PTK",Москва,Россия,Moscow,Russia,Стенд: 3A4-1,Stand: 3A4-1
АРГ Интернейшнл,ARG International,,Россия,,Russia,Стенд: 2F2-1,Stand: 2F2-1
АРМИЯ ДЕВОЧЕК,ARMY GIRLS,Волоколамск,Россия,Volokolamsk,Russia,Стенд: 4F3-1,Stand: 4F3-1
АРМОКОМ,ARMOCOM,Хотьково,Россия,Khotkovo,Russia,Стенд: 2E2-3,Stand: 2E2-3
"АРСЕНАЛ ОТЕЧЕСТВА, ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЖУРНАЛ","ARSENAL OF THE FATHERLAND, INFORMATION AND ANALYTICAL JOURNAL",Москва,Россия,Moscow,Russia,Стенд: 1F1-3,Stand: 1F1-3
Арсенал. Военно-промышленное обозрение,Arsenal. Military Industrial Review,Москва,Россия,Moscow,Russia,Стенд: 4F2-10,Stand: 4F2-10
АРХОНТ ООО,ARCHON LTD,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 2B4-2,Stand: 2B4-2
АСД-КОМПОЗИТ,ASD-COMPOSITE,Тольятти,Россия,Tolyatti,Russia,Стенд: 3B1-1,Stand: 3B1-1
АСКОН,ASCON,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 3B9,Stand: 3B9
Ассоциация «Доверенная платформа»,Trusted Platform Association,Москва,Россия,Moscow,Russia,Стенд: 5А6,Stand: 5A6
Ассоциация развития аддитивных технологий,Association for the Development of Additive Technologies,Москва,Россия,Moscow,Russia,Стенд: 2O12,Stand: 2O12
"АСТЕЙС, АО",ASTEYS JSC,Набережные Челны,Россия,Naberezhnye Chelny,Russia,Стенд: 3O5,Stand: 3O5
"Астра, НПЦ","Astra, NPC",Уфа,Россия,Ufa,Russia,Стенд: 5С3,Stand: 5S3
АСТРОН ОКБ АО,ASTRON OKB JSC,Лыткарино,Россия,Lytkarino,Russia,Стенд: 2C3-2,Stand: 2C3-2
"АТ, ООО","AT, OOO",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1B6-3,Stand: 1B6-3
АТЛАНТ ПК,ATLANT PC,Москва,Россия,Moscow,Russia,Стенд: 4A1-3,Stand: 4A1-3
"Атлант, АО","Atlant, AO",Изобильный,Россия,Izobilny,Russia,Стенд: 2B3-1,Stand: 2B3-1
"Атомэнергопром, АО",Atomenergoprom JSC,Москва,Россия,Moscow,Russia,"Стенд: 3D1, 5B6","Stand: 3D1, 5B6"
"Атри, ООО","Atri, OOO",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 3C6,Stand: 3C6
"Аэрокон, ООО","Aerocon, OOO",Республика Татарстан,Россия,Republic of Tatarstan,Russia,Стенд: 2F3-10,Stand: 2F3-10
"Аэроприбор-Восход, АО",Aeropribor-Voskhod JSC,Москва,Россия,Moscow,Russia,Стенд: 4O1,Stand: 4O1
Балтекс ООО,Baltex OOO,Балашов,Россия,Balashov,Russia,Стенд: 2A3-1,Stand: 2A3-1
"Балтийский завод, АО",Baltiysky Zavod JSC,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: Демоцентр,Stand: Democenter
"Банк «Санкт-Петербург», ПАО","Bank Saint Petersburg, PJSC",Санкт-Петербург,Россия,Saint-Petersburg,Russia,,
БАНК ВТБ (ПАО),VTB BANK (PJSC),Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 2D6,Stand: 2D6
"Барнаульский патронный завод, АО",Barnaul Cartridge Plant JSC,Барнаул,Россия,Barnaul,Russia,Стенд: 2A4-2,Stand: 2A4-2
БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова,"BSTU ""VOENMEH"" D.F. Ustinov",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1F3-6,Stand: 1F3-6
Безопасность,Safety,,Россия,,Russia,Стенд: 1F1-5,Stand: 1F1-5
БелОМО,BelOMO,,Беларусь,,Belarus,Стенд: 2D2-6,Stand: 2D2-6
Белорусский государственный университет информатики и радиоэлектроники,Belarusian State University of Informatics and Radioelectronics,Минск,Беларусь,Minsk,Belarus,Стенд: 1A6-0,Stand: 1A6-0
"Белспецвнештехника, ГВТУП","Belspetsvneshtechnika, GVTUP",Минск,Беларусь,Minsk,Belarus,Стенд: 2D1,Stand: 2D1
"Белтехэкспорт, ЗАО","Beltehexport, CJSC",Минск,Беларусь,Minsk,Belarus,Стенд: 2D1,Stand: 2D1
Би Питрон,Bee Pitron,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1B3-1,Stand: 1B3-1
"БИОМЕДИКАЛ ПРОДАКШН, ООО (ООО «БМП»)","BIOMEDICAL PRODUCTION, LLC (BMP LLC)",Дубна,Россия,Dubna,Russia,Стенд: 5С3,Stand: 5S3
БИОТЕКФАРМ,BIOTEKPHARM,Москва,Россия,Moscow,Russia,Стенд: 5С2,Stand: 5S2
"БОРИСФЕН, АО",BORISFEN JSC,Москва,Россия,Moscow,Russia,Стенд: 1B10,Stand: 1B10
"Брок-Инвест-Сервис, ЗАО","Brok-Invest-Service, CJSC",Москва,Россия,Moscow,Russia,Стенд: 4E2-2,Stand: 4E2-2
Бронеэлементы Сомова,Armor elements Somov,Москва,Россия,Moscow,Russia,,
"Брянский автомобильный завод, АО","Bryansk Automobile Plant, JSC",Брянск,Россия,Bryansk,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"БТК групп, АО","BTK group, JSC",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 2D5-2,Stand: 2D5-2
"Буревестник, АО ЦНИИ","Burevestnik, JSC Central Research Institute",Нижний Новгород,Россия,Nizhny Novgorod,Russia,Стенд: 3O2,Stand: 3O2
Бурстройпроект ОКБ,Burstroyproject OKB,Москва,Россия,Moscow,Russia,Стенд: 1B2-3,Stand: 1B2-3
"БЭМЗ, АО","BEMZ, JSC",Брянск,Россия,Bryansk,Russia,Стенд: 4O1,Stand: 4O1
"ВАЛТАР, ООО","VALTAR, OOO",Королев,Россия,Korolev,Russia,Стенд: 3A4-8,Stand: 3A4-8
"Вариант-999, ООО","Option-999, OOO",,Россия,,Russia,Стенд: 4B5-5,Stand: 4B5-5
Вездеходы «Бурлак»,"All-terrain vehicles ""Burlak""",Курган,Россия,Kurgan,Russia,Стенд: 2O3,Stand: 2O3
Вездеходы премиум-класса «Север-трак»,"All-terrain vehicles of a premium class ""North-Truck""",Красноярск,Россия,Krasnoyarsk,Russia,Стенд: 5D5,Stand: 5D5
Велес Торговая Компания ООО,Veles Trading Company LLC,Челябинск,Россия,Chelyabinsk,Russia,Стенд: 1O6,Stand: 1O6
"Великолукский Аккумуляторный Завод «Импульс», ООО","Velikoluksky Accumulator Plant ""Impulse"", LLC",Великие Луки,Россия,Velikiye Luki,Russia,Стенд: 3E1-3,Stand: 3E1-3
Венчурный фонд Тверской области,Venture fund of the Tver region,,Россия,,Russia,Стенд: 3B6-1,Stand: 3B6-1
Вертикаль,Vertical,Торжок,Россия,Torzhok,Russia,Стенд: 3B6-1,Stand: 3B6-1
Вертолеты России,Russian Helicopters,Москва,Россия,Moscow,Russia,Стенд: 1O3,Stand: 1O3
Вести Подмосковья,Vesti Podmoskovye,Можайск,Россия,Mozhaisk,Russia,Стенд: Заочно,Stand: In absentia
"Весь Мир, ООО",Whole World Ltd.,Подольск,Россия,Podolsk,Russia,Стенд: 4O4,Stand: 4O4
ВИНТЕО,VINTEO,Краснодар,Россия,Krasnodar,Russia,,
"Вирсеми, ООО","Virsemi, OOO",Ставрополь,Россия,Stavropol,Russia,Стенд: 2F3-7,Stand: 2F3-7
Виртумед,Virtumed,Москва,Россия,Moscow,Russia,Стенд: 4A3-1,Stand: 4A3-1
"ВИТ МЕДИКАЛ, ООО","VIT MEDICAL, OOO",Москва,Россия,Moscow,Russia,Стенд: 5С2,Stand: 5S2
"ВИТАНД КОМПАНИЯ, ООО","VITAND COMPANY, LLC",Москва,Россия,Moscow,Russia,,
"Владимирский Завод Металлорукавов, АО","Vladimirsky Plant of Metal Hose, JSC",Владимир,Россия,Vladimir,Russia,Стенд: 3F4-2,Stand: 3F4-2
"Владимирский Завод Прецизионных Сплавов, АО","Vladimir Plant of Precision Alloys, JSC",Владимир,Россия,Vladimir,Russia,Стенд: 3F4-2,Stand: 3F4-2
"Владимирское производственное объединение «Точмаш», АО","Vladimir Production Association ""Tochmash"", JSC",Владимир,Россия,Vladimir,Russia,"Стенд: 3D1, 5B6","Stand: 3D1, 5B6"
"ВМП «АВИТЕК», АО","VMP ""AVITEK"", JSC",Киров,Россия,Kirov,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"ВНИИ «Сигнал», АО","VNII ""Signal"", JSC",Ковров,Россия,Kovrov,Russia,Стенд: 3O1,Stand: 3O1
ВНИИ ГОЧС (ФЦ) МЧС России,VNII GOChS (FTs) EMERCOM of Russia,Москва,Россия,Moscow,Russia,Стенд: 5D2,Stand: 5D2
"ВНИИА им. Н.Л. Духова, ФГУП","VNIIA them. N.L. Dukhova, Federal State Unitary Enterprise",Москва,Россия,Moscow,Russia,"Стенд: 3D1, 5B6","Stand: 3D1, 5B6"
"ВНИИКП, ОАО","VNIIKP, OJSC",Москва,Россия,Moscow,Russia,,
"ВНИИОФИ, ФГУП","VNIIOFI, FSUE",Москва,Россия,Moscow,Russia,Стенд: 2B8-5,Stand: 2B8-5
ВНИИР-Прогресс,VNIIR-Progress,Чебоксары,Россия,Cheboksary,Russia,Стенд: 3E3-1,Stand: 3E3-1
"ВНИИР, ФГБУ","VNIIR, FGBU",Мытищи,Россия,Mytishchi,Russia,Стенд: 5В5-3,Stand: 5V5-3
"ВНИИРА, АО",VNIIRA JSC,Санкт-Петербург,Россия,Saint-Petersburg,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
ВНИИТФ,VNIITF,Снежинск,Россия,Snezhinsk,Russia,"Стенд: 3D1, 5B6","Stand: 3D1, 5B6"
"ВНИИФТРИ, ФГУП","VNIIFTRI, Federal State Unitary Enterprise",Солнечногорск,Россия,Solnechnogorsk,Russia,Стенд: 1B7-1,Stand: 1B7-1
Военная информационная группа Mil.Press,Military information group Mil.Press,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 3B4-3,Stand: 3B4-3
"Воентелеком, АО","Voentelekom, JSC",Москва,Россия,Moscow,Russia,Стенд: 1C2-2,Stand: 1C2-2
Военторг,Voentorg,Москва,Россия,Moscow,Russia,Стенд: 2C1,Stand: 2C1
"ВОЛАТАВТО, ОАО",VOLATAVTO JSC,Минск,Беларусь,Minsk,Belarus,Стенд: 2D1,Stand: 2D1
Волго-Вятский монетный двор,Volga-Vyatka Mint,Киров,Россия,Kirov,Russia,Стенд: 4E2-3,Stand: 4E2-3
"ВОЛЬТ-СПБ, ООО","VOLT-SPB, OOO",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1F4-8,Stand: 1F4-8
"ВПК «НПО машиностроения», АО","VPK NPO Mashinostroeniya, JSC",Реутов,Россия,Reutov,Russia,Стенд: Демоцентр,Stand: Democenter
"ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РАДИОТЕХНИКИ, АО","ALL-RUSSIAN RESEARCH INSTITUTE OF RADIO ENGINEERING, JSC",Москва,Россия,Moscow,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"Всероссийское добровольное пожарное общество, ВДПО","All-Russian Volunteer Fire Society, VDPO",Москва,Россия,Moscow,Russia,Стенд: 5D4-1,Stand: 5D4-1
Всероссийское общество слепых,All-Russian Society of the Blind,Москва,Россия,Moscow,Russia,Стенд: 2A1-2,Stand: 2A1-2
Второе дыхание ТМ,Second wind TM,Челябинск,Россия,Chelyabinsk,Russia,Стенд: 1O6,Stand: 1O6
"Вымпел Гос МКБ, АО","Vympel Gos MKB, JSC",Москва,Россия,Moscow,Russia,Стенд: Демоцентр,Stand: Democenter
"Высокоточные комплексы, НПО, АО","High-precision complexes, NPO, JSC",Москва,Россия,Moscow,Russia,"Стенд: 3O1, 5C2","Stand: 3O1, 5C2"
"Вычислительная Механика, ООО","Computational Mechanics, LLC",Брянская обл.,Россия,Bryansk region,Russia,Стенд: 1F2-6,Stand: 1F2-6
"ВЭМЗ, АО","VEMZ, JSC",,Россия,,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"Газовое Оборудование, ООО","Gas Equipment, LLC",Москва,Россия,Moscow,Russia,,
"Газснабинвест, ООО","Gazsnabinvest, OOO",,Россия,,Russia,Стенд: 5O7,Stand: 5O7
ГАММАМЕТ Научно-производственное предприятие,GAMMAMET Research and production enterprise,Екатеринбург,Россия,Yekaterinburg,Russia,Стенд: 1F4-2,Stand: 1F4-2
"Гейзер-Телеком, ООО","Geyser-Telekom, OOO",Москва,Россия,Moscow,Russia,Стенд: Заочно,Stand: In absentia
"Гео Мед, АО","Geo Med, JSC",,Россия,,Russia,Стенд: 4A3-3,Stand: 4A3-3
"ГЕФЕСТ и Т, ЗАО","GEFEST i T, CJSC",Жуковский,Россия,Zhukovsky,Russia,Стенд: 1C2-1,Stand: 1C2-1
Гидроприбор,hydraulic device,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: Демоцентр,Stand: Democenter
ГИКЭЛ,GIKEL,Воронеж,Россия,Voronezh,Russia,Стенд: 3F2-2,Stand: 3F2-2
ГК «Беспилотные системы»,"GC ""Unmanned Systems""",Ижевск,Россия,Izhevsk,Russia,Стенд: 1B3-2,Stand: 1B3-2
ГК «Мадин»,"GC ""Madin""",Нижний Новгород,Россия,Nizhny Novgorod,Russia,Стенд: 5С2,Stand: 5S2
"ГКНПЦ им. М.В. Хруничева, АО","GKNPTs im. M.V. Khrunichev, JSC",Москва,Россия,Moscow,Russia,"Стенд: VIP 3, 5A6","Stand: VIP 3, 5A6"
"Главкосмос, АО",Glavkosmos JSC,,Россия,,Russia,Стенд: 3O18,Stand: 3O18
"Главный центр специальной связи, ФГУП","Main Center for Special Communications, Federal State Unitary Enterprise",Москва,Россия,Moscow,Russia,Стенд: 4C2-2,Stand: 4C2-2
ГЛАПС,glaps,Тверь,Россия,Tver,Russia,Стенд: 3B6-1,Stand: 3B6-1
"Глобал Инжиниринг, ООО","Global Engineering, OOO",,Россия,,Russia,Стенд: 1F4-5,Stand: 1F4-5
Глобус,the globe,Рязань,Россия,Ryazan,Russia,Стенд: Демоцентр,Stand: Democenter
"ГНЦ «Центр Келдыша», АО","SSC ""Center of Keldysh"", JSC",Москва,Россия,Moscow,Russia,Стенд: VIP 3,Stand: VIP 3
ГНЦ ФГУП «ЦНИИчермет им. И.П. Бардина»,"SSC Federal State Unitary Enterprise ""TsNIIchermet im. I.P. Bardin""",Москва,Россия,Moscow,Russia,Стенд: 3F3-1,Stand: 3F3-1
"ГосМКБ «Радуга» им. А.Я. Березняка, АО","GosMKB ""Rainbow"" them. AND I. Bereznyak, JSC",Дубна,Россия,Dubna,Russia,Стенд: Демоцентр,Stand: Democenter
"ГосНИИмаш, АО","GosNIImash, JSC",Дзержинск,Россия,Dzerzhinsk,Russia,Стенд: Демоцентр,Stand: Democenter
Государственная корпорация «Ростех»,"State Corporation ""Rostec""",Москва,Россия,Moscow,Russia,Стенд: Демоцентр,Stand: Democenter
